Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
1,Pro Garlic Oil - Vegetarian Capsule 500 mg Model,Beauty & Hygiene,220,220,Hair Oil & Serum,4.1,0,0,Very Good,Medium
2,Fusion Water Bottle - Orange Premium Pack,"Kitchen, Garden & Pets",180,180,Water & Fridge Bottles,2.3,0,0,Average,Medium
3,Amul Butter 100g (Carton),Groceries,58,60,Dairy & Bakery,3.6,2,3.33,Good,Low
4,Amul Butter 500g (Carton),Groceries,285,295,Dairy & Bakery,3.6,10,3.39,Good,Medium
5,"Essential Brass Angle Deep - Plain, No.2 Set",Cleaning & Household,119,250,Lamp & Lamp Oil,3.4,131,52.4,Good,Low
6,Signature Cereal Flip Lid Container/Storage Jar - Assorted Colour Premium Pack,Cleaning & Household,149,176,"Laundry, Storage Baskets",3.7,27,15.34,Good,Low
7,Essential Creme Soft Soap - For Hands & Body Bundle,Beauty & Hygiene,162,162,Bathing Bars & Soaps,4.4,0,0,Very Good,Medium
8,Fusion Germ - Removal Multipurpose Wipes Range,Cleaning & Household,169,199,Disinfectant Spray & Cleaners,3.3,30,15.08,Good,Medium
9,"VLITE Food Wrapping Butter Paper Roll- (Medium Roll, 280mm x 40mtr)",Groceries,139,430,Food Wrappers,3.3,291,67.67,Good,Low
10,Signature Multani Mati Edition,Beauty & Hygiene,58,58,Face Care,3.6,0,0,Good,Low
11,Home One Aluminum Foil 9 m,Groceries,65,150,Food Wrappers,3.5,85,56.67,Good,Low
12,Pink Delight Pure & Natural Jaggery | Organic Gur| Purest Form Of Gur| Brown Gur| 900g,Groceries,249,400,Cooking Essentials,3.6,151,37.75,Good,Medium
13,Fusion Hand Sanitizer - 70% Alcohol Base Range,Beauty & Hygiene,250,250,Hand Wash & Sanitizers,4,0,0,Very Good,Medium
14,Max Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner Set,Beauty & Hygiene,1098,1098,Shampoo & Conditioner,3.5,0,0,Good,High
